Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2021-09-03,Pestivirus suis,Sus scrofa,,2019-12-22
2021-09-03,Pestivirus suis,Sus scrofa,,2019-12-17
2021-09-03,Pestivirus suis,Sus scrofa,,2019-12-19
2021-09-03,Pestivirus suis,Sus scrofa,,2019-12-26
2021-09-03,Pestivirus suis,Sus scrofa,,2020-02-10
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-14
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-14
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-14
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-15
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus tauri,Bos taurus,,1991
2021-09-01,Pestivirus tauri,Bos taurus,feces,2020-01-06
2021-08-23,Pestivirus N,Capra hircus,,2007
2021-08-23,Pestivirus ovis,Sus scrofa,,1994
2021-08-17,Pestivirus scrofae,Sus scrofa,blood,2018
2021-07-21,Pestivirus bovis,Bos taurus,blood,2016
2021-07-21,Pestivirus bovis,Ovis aries,blood,2016
2021-07-21,Pestivirus bovis,Bos taurus,blood,2017
2021-07-21,Pestivirus bovis,Bos taurus,,2018
2021-07-21,Pestivirus bovis,Bos taurus,blood,2018
2021-07-21,Pestivirus bovis,Bos taurus,blood,2018
2021-07-21,Pestivirus bovis,Bos taurus,blood,2019
2021-07-21,Pestivirus bovis,Bos taurus,blood,2019
2021-07-21,Pestivirus bovis,Bos taurus,blood,2019
2021-07-21,Pestivirus bovis,Bos taurus,blood,2019
2021-07-21,Pestivirus tauri,Bos taurus,blood,2011
2021-07-21,Pestivirus tauri,Bos taurus,blood,2013
2021-06-12,Pestivirus L,Sus scrofa,,2016
2021-06-09,Pestivirus scrofae,Sus scrofa,,2020-04-01
2021-06-07,Bemisia tabaci pesti-like virus 1,,,2016-08
2021-05-23,Pestivirus bovis,Bison bison,,2020-04-21
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-05-16,Pestivirus suis,Sus scrofa,"lung, lymph, spleen, abdominal cavity, kidney, tonsil",2018
2021-03-09,Pestivirus scrofae,Sus scrofa,,2016
2021-03-09,Pestivirus scrofae,Sus scrofa,,2017
2021-02-28,Pestivirus bovis,Bos taurus,brain,2016
2021-02-28,Pestivirus bovis,Bos taurus,brain,2016
2020-12-15,Pestivirus scrofae,Sus scrofa,,2017
2020-12-15,Pestivirus scrofae,Sus scrofa,,2017
2020-12-05,Pestivirus bovis,Bos taurus,,2018-02-05
2020-12-05,Pestivirus bovis,Bos taurus,,2018-02-19
2020-12-05,Pestivirus bovis,Bos taurus,,2018-03-05
2020-11-25,Pestivirus bovis,Bos taurus,,
2020-11-24,Pestivirus suis,Sus scrofa,,2015-06
2020-11-24,Pestivirus tauri,Bos taurus,,2014
2020-11-01,Pestivirus ovis,Ovis aries,,2019
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2013
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2015
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2016
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2016
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2017
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2018
2020-10-13,Pestivirus scrofae,Sus scrofa,blood,2019
2020-10-08,Pestivirus australiaense,,,
2020-10-08,Pestivirus australiaense,,,
2020-09-15,Pestivirus suis,Sus scrofa,,2019
2020-09-07,Pestivirus ovis,Ovis aries,,2000-08-01
2020-08-28,Pestivirus australiaense,,,
2020-08-28,Pestivirus australiaense,,,
2020-07-28,Pestivirus ovis,Ovis aries,,2004
2020-07-27,Pestivirus bovis,Bos taurus,,2019-04
2020-07-10,Pestivirus scrofae,Sus scrofa,"spleen, abdominal cavity",2017-12-25
2020-07-06,Pestivirus bovis,,,
2020-06-30,Pestivirus scrofae,Sus scrofa,,2018
2020-06-30,Pestivirus scrofae,Sus scrofa,,2017
2020-05-19,Pestivirus suis,Sus scrofa,,2019-01
2020-05-19,Pestivirus suis,Sus scrofa,,2019-03
2020-05-19,Pestivirus suis,Sus scrofa,,2019-04
2020-05-19,Pestivirus suis,Sus scrofa,,2019-06
2020-05-19,Pestivirus suis,Sus scrofa,,2019-07
2020-05-03,Pestivirus tauri,,,2018
2020-04-15,Pestivirus bovis,,,
2020-04-05,Pestivirus scrofae,Sus scrofa,,2019
2020-04-05,Pestivirus scrofae,Sus scrofa,,2019
2020-03-22,Pestivirus bovis,Bos taurus,,2018-09-09
2020-03-02,Pestivirus P,,,2018
2020-03-02,Pestivirus P,Manis javanica,"kidney, abdominal cavity",2018
2020-02-26,Pestivirus suis,Sus scrofa,,2018-11-15
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-02-15
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-02-22
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-05-05
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-05-12
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-09-27
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-07-26
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-07-26
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-07-26
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-07-26
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2017-07-26
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2018-01-10
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2018-01-10
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2018-01-10
2020-01-01,Pestivirus bovis,Sus scrofa,blood,2018-01-10
2019-12-25,Pestivirus bovis,Bovidae,,2017
2019-12-25,Pestivirus bovis,Bovidae,,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2004
2019-12-15,Pestivirus suis,Sus scrofa,blood,2005
2019-12-15,Pestivirus suis,Sus scrofa,blood,2006
2019-12-15,Pestivirus suis,Sus scrofa,blood,2007
2019-12-15,Pestivirus suis,Sus scrofa,blood,2007
2019-12-15,Pestivirus suis,Sus scrofa,blood,2014
2019-12-15,Pestivirus suis,Sus scrofa,blood,2016
2019-12-15,Pestivirus suis,Sus scrofa,blood,2016
2019-12-15,Pestivirus suis,Sus scrofa,blood,2016
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2017
2019-12-15,Pestivirus suis,Sus scrofa,blood,2018
2019-12-15,Pestivirus suis,Sus scrofa,blood,2018
2019-12-15,Pestivirus suis,Sus scrofa,blood,2018
2019-12-10,Pestivirus scrofae,Sus scrofa,,2017-03-31
2019-11-18,Pestivirus scrofae,Sus scrofa,,2018
2019-11-05,Pestivirus bovis,Bos taurus,,2006
2019-11-01,Pestivirus bovis,,,
2019-11-01,Pestivirus bovis,,,
2019-11-01,Pestivirus bovis,,,
2019-11-01,Pestivirus bovis,,,
2019-11-01,Pestivirus bovis,,,
2019-10-23,Pestivirus M,Phocoena phocoena,lung,2012
2019-10-23,Pestivirus M,Phocoena phocoena,brain,2008
2019-10-23,Pestivirus M,Phocoena phocoena,lung,2008
2019-10-08,Pestivirus scrofae,Sus scrofa,,2017-12-30
2019-10-01,Pestivirus tauri,Bos taurus,blood,2016-03
2019-09-04,Pestivirus bovis,Bos taurus,feces,2008-10
2019-09-04,Pestivirus bovis,Bos taurus,feces,2008-10
2019-09-04,Pestivirus bovis,Bos taurus,feces,2008-11
2019-08-18,Pestivirus scrofae,Sus scrofa,,2017
2019-08-06,Trinbago virus,,,2017
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,blood,2006
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,blood,2006
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,blood,2011-07-08
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,,2013-03-11
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,blood,2015
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,salivary gland,2017-07-24
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,,2017-10-11
2019-08-06,Pestivirus scrofae,Sus scrofa domesticus,,2018
2019-08-01,Pestivirus scrofae,Sus scrofa,blood,2016-09-15
2019-07-15,Pestivirus sp.,Ovis aries,,2017-12
2019-07-15,Pestivirus O,Ovis aries,,2017-12
2019-06-25,Pestivirus scrofae,Sus scrofa,,2017-04
2019-06-22,Pestivirus scrofae,Sus scrofa,,2017-04
2019-06-22,Pestivirus scrofae,Sus scrofa,,2018-01
2019-06-22,Pestivirus scrofae,Sus scrofa,,2018-01
2019-06-22,Pestivirus scrofae,Sus scrofa,,2017-04
2019-06-22,Pestivirus scrofae,Sus scrofa,,2017-04
2019-06-22,Pestivirus scrofae,Sus scrofa,,2017-10
2019-05-29,Pestivirus scrofae,Sus scrofa,,2018-08
2019-05-28,Pestivirus suis,Sus scrofa,,2016
2019-05-25,Pestivirus scrofae,Sus scrofa,,2018
2019-05-25,Pestivirus scrofae,Sus scrofa,,2017
2019-05-25,Pestivirus scrofae,Sus scrofa,,2017
2019-05-22,Pestivirus bovis,Bos taurus,feces,2017-02-26
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-30,Pestivirus scrofae,Sus scrofa,brain,2016-04
2019-04-28,Pestivirus bovis,Bos taurus,,2014-04-09
2019-04-28,Pestivirus bovis,Bos taurus,,2015-10-23
2019-04-28,Pestivirus bovis,Bos taurus,,2014-02-21
2019-04-28,Pestivirus bovis,Bos taurus,,2017-09-27
2019-04-28,Pestivirus bovis,Bos taurus,,2013-03-04
2019-04-22,Pestivirus scrofae,Sus scrofa,,2018
2019-03-13,Pestivirus scrofae,Sus scrofa,,2018-02
2019-03-03,Pestivirus suis,Sus scrofa,,2007
2019-02-19,Pestivirus australiaense,Sus scrofa,,2003
2019-02-19,Pestivirus australiaense,Sus scrofa,,2010
2019-02-19,Pestivirus australiaense,Sus scrofa,,2014
2019-02-13,Pestivirus brazilense,Bos taurus,blood,2013
2019-02-13,Pestivirus brazilense,Bos taurus,blood,2013
2019-02-13,Pestivirus brazilense,Bos taurus,blood,2013
2019-02-13,Pestivirus brazilense,Bos taurus,blood,2013
2019-02-13,Pestivirus brazilense,Bos taurus,blood,2011
2019-02-04,Pestivirus scrofae,Sus scrofa,,2016
2019-02-03,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2012-12-30
2019-02-03,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2012-08-30
2019-01-31,Pestivirus suis,,,
2019-01-22,Pestivirus suis,Sus scrofa,,2017-03
2019-01-22,Pestivirus suis,Sus scrofa,,2017-09
2019-01-22,Pestivirus suis,Sus scrofa,,2018-06
2019-01-22,Pestivirus suis,Sus scrofa,,2018-06
2019-01-22,Pestivirus suis,Sus scrofa,,2018-06
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-07
2019-01-22,Pestivirus suis,Sus scrofa,,2018-10
2019-01-16,Pestivirus ovis,Rupicapra rupicapra,"spleen, abdominal cavity",2015
2018-12-26,Pestivirus bovis,Bos taurus,,
2018-12-25,Pestivirus tauri,,,1993
2018-12-25,Pestivirus tauri,,,1989
2018-12-25,Pestivirus tauri,,,1992
2018-12-25,Pestivirus tauri,,,1990
2018-12-25,Pestivirus tauri,,,2004
2018-12-25,Pestivirus tauri,,,1992
2018-12-25,Pestivirus tauri,,,1995
2018-12-25,Pestivirus tauri,,,1998
2018-12-25,Pestivirus tauri,,,2006
2018-12-25,Pestivirus tauri,,,1997
2018-12-25,Pestivirus tauri,,,2006
2018-12-25,Pestivirus tauri,,,1997
2018-12-25,Pestivirus tauri,,,1995
2018-12-25,Pestivirus tauri,,,1998
2018-12-25,Pestivirus tauri,,,1991
2018-12-25,Pestivirus tauri,,,1991
2018-12-25,Pestivirus tauri,,,1990
2018-12-25,Pestivirus tauri,,,1992
2018-12-25,Pestivirus tauri,,,2016
2018-12-25,Pestivirus tauri,,,1991
2018-12-25,Pestivirus tauri,,,2014
2018-12-25,Pestivirus tauri,,,1992
2018-12-25,Pestivirus tauri,,,1990
2018-12-25,Pestivirus tauri,,,1991
2018-12-25,Pestivirus tauri,,,2016
2018-12-25,Pestivirus tauri,,,2012
2018-12-25,Pestivirus tauri,,,1989
2018-12-25,Pestivirus tauri,,,2012
2018-12-25,Pestivirus tauri,,,2005
2018-12-25,Pestivirus tauri,,,1989
2018-12-25,Pestivirus bovis,,,1990
2018-12-25,Pestivirus tauri,,,1990
2018-12-25,Pestivirus tauri,,,2005
2018-12-25,Pestivirus tauri,,,1995
2018-12-25,Pestivirus tauri,,,2004
2018-12-25,Pestivirus tauri,,,1989
2018-12-24,Pestivirus scrofae,Sus scrofa,,2018-02
2018-12-24,Pestivirus scrofae,Sus scrofa,,2018-02
2018-12-24,Pestivirus scrofae,Sus scrofa,,2018-02
2018-12-03,Pestivirus bovis,Bos taurus,,2013
2018-12-03,Pestivirus bovis,Bos taurus,,2016
2018-11-25,Pestivirus suis,Sus scrofa,blood,2015-09
2018-11-25,Pestivirus suis,Sus scrofa,blood,2014-06
2018-11-21,Pestivirus S,Scotophilus kuhlii,,2017-07
2018-11-07,Pestivirus suis,Sus scrofa,,2017-08-09
2018-11-07,Pestivirus suis,Sus scrofa,,2017-08-09
2018-11-03,Pestivirus suis,Sus scrofa,,1982-10-07
2018-10-24,Pestivirus scrofae,Sus scrofa,,2018
2018-10-06,Pestivirus suis,,,
2018-10-05,Pestivirus suis,Sus scrofa domesticus,,2018-09
2018-09-25,Pestivirus bovis,Bos taurus,blood,2015
2018-09-25,Pestivirus bovis,Bos taurus,blood,2015-09
2018-08-22,Pestivirus scrofae,Sus scrofa,,2018-03-25
2018-08-22,Pestivirus scrofae,Sus scrofa,,2018-04-06
2018-08-22,Pestivirus scrofae,Sus scrofa,,2018-05-08
2018-08-22,Pestivirus scrofae,Sus scrofa,,2017-11-26
2018-08-22,Pestivirus scrofae,Sus scrofa,,2018-05-18
2018-08-22,Pestivirus scrofae,Sus scrofa,,2017-08-17
2018-08-22,Pestivirus scrofae,Sus scrofa,,2018-06-12
2018-08-14,Pestivirus sp.,Ovis aries,,2017-01
2018-08-02,Pestivirus suis,Sus scrofa,,2013
2018-08-01,Pestivirus scrofae,Sus scrofa,,2016
2018-07-03,Pestivirus bovis,,,
2018-07-03,Pestivirus bovis,,,
2018-06-30,Pestivirus bovis,Bos taurus,blood,2014-12-12
2018-06-30,Pestivirus bovis,Bos taurus,blood,2015-06-17
2018-06-30,Pestivirus bovis,Bos taurus,blood,2015-06-24
2018-06-30,Pestivirus bovis,Bos taurus,blood,2015-07-01
2018-06-30,Pestivirus bovis,Bos taurus,blood,2015-07-06
2018-06-30,Pestivirus bovis,Bos taurus,blood,2015-07-13
2018-06-30,Pestivirus bovis,Bos taurus,,2015-09-03
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-01-13
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-01-26
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-02-04
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-02-11
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-02-16
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-02-25
2018-06-30,Pestivirus bovis,Bos taurus,,2015-12-24
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-03-24
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-02-24
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-03-04
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-03-04
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-05-05
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-04-14
2018-06-30,Pestivirus bovis,Ovis aries,,2015-05-07
2018-06-30,Pestivirus bovis,Ovis aries,,2015-05-07
2018-06-30,Pestivirus bovis,Ovis aries,blood,2015-05-17
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-06-16
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-06-27
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-04-14
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-07-05
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-04-14
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-07-05
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-06-16
2018-06-30,Pestivirus bovis,Bos taurus,blood,2016-09-16
2018-06-27,Pestivirus bovis,Bos taurus,,1993
2018-05-26,Pestivirus scrofae,Sus scrofa,,2017
2018-04-30,Pestivirus suis,Sus scrofa,tissue,2014-12
2018-04-30,Pestivirus suis,Sus scrofa,,2014-12
2018-04-30,Pestivirus suis,Sus scrofa,,2014-12
2018-04-29,Pestivirus scrofae,Sus scrofa,,2017-11
2018-04-22,Pestivirus suis,Sus scrofa,"lymph, spleen, kidney",2013
2018-04-07,Pestivirus scrofae,Sus scrofa,"spleen, abdominal cavity",2016-03
2018-03-27,Pestivirus suis,Sus scrofa,,1991
2018-03-17,Pestivirus suis,Sus scrofa,,2015
2018-03-17,Pestivirus suis,Sus scrofa,,2015
2018-03-17,Pestivirus suis,Sus scrofa,,2015
2018-03-17,Pestivirus suis,Sus scrofa,,2015
2018-03-17,Pestivirus suis,Sus scrofa,,2014
2018-03-17,Pestivirus suis,Sus scrofa,,2014
2018-03-17,Pestivirus suis,Sus scrofa,,2015
2018-03-03,Pestivirus bovis,Bos grunniens,,2012-02-10
2018-02-09,Pestivirus tauri,Bos taurus,,2014
2018-01-09,Pestivirus scrofae,Sus scrofa,,2015
2018-01-09,Pestivirus scrofae,Sus scrofa,,2016
2018-01-09,Pestivirus scrofae,Sus scrofa,,2014
2017-12-31,Rodent pestivirus,Niviventer excelsior,,2014-07
2017-12-31,Rodent pestivirus,Apodemus peninsulae,,2014-08
2017-12-31,Rodent pestivirus,Niviventer niviventer,,2014-12
2017-12-31,Rodent pestivirus,Apodemus draco,,2015-06
2017-12-31,Rodent pestivirus,Niviventer niviventer,,2015-06
2017-12-20,Pestivirus bovis,Bos taurus,,2005
2017-11-28,Pestivirus scrofae,Sus scrofa,,2016-12
2017-11-28,Pestivirus scrofae,Sus scrofa,,2016-12
2017-10-31,Pestivirus bovis,Bos taurus,,2014
2017-10-25,Pestivirus bovis,Cervidae,,2014
2017-10-24,Pestivirus bovis,Bos grunniens,,2015-01
2017-10-07,Pestivirus bovis,Bos grunniens,feces,2016
2017-10-02,Pestivirus bovis,Bos taurus,,2005
2017-10-02,Pestivirus bovis,Bos taurus,,2005
2017-09-30,Pestivirus ovis,Bos taurus,blood,2006
2017-09-30,Pestivirus ovis,Bos taurus,blood,2011
2017-09-30,Pestivirus ovis,Sus scrofa,blood,2015
2017-09-11,Pestivirus suis,Sus scrofa,,2016-09-02
2017-09-04,Pestivirus bovis,Bos taurus,feces,2016
2017-09-04,Pestivirus bovis,Bos taurus,feces,2016
2017-07-12,Pestivirus suis,,,
2017-07-06,Pestivirus brazilense,Bos taurus,blood,2012
2017-07-06,Pestivirus brazilense,Bos taurus,blood,2007
2017-06-27,Pestivirus L,Sus scrofa,,2015
2017-06-26,Pestivirus scrofae,Sus scrofa,,2016-11-15
2017-06-26,Pestivirus brazilense,Bos indicus,abdominal cavity,2015-06
2017-06-21,Pestivirus suis,Sus scrofa,,2013
2017-06-21,Pestivirus suis,Sus scrofa,,2007
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-06-21,Pestivirus suis,Sus scrofa,,2012
2017-06-21,Pestivirus suis,Sus scrofa,,2012
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-06-21,Pestivirus suis,Sus scrofa,,2007
2017-06-21,Pestivirus suis,Sus scrofa,,2007
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-06-21,Pestivirus suis,Sus scrofa,,2012
2017-06-21,Pestivirus suis,Sus scrofa,,2012
2017-06-21,Pestivirus suis,Sus scrofa,,2015
2017-06-21,Pestivirus suis,Sus scrofa,,2007
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-06-21,Pestivirus suis,Sus scrofa,,2011
2017-05-31,Pestivirus bovis,Bos taurus,,2002-04-18
2017-05-31,Pestivirus suis,Sus scrofa domesticus,,2005-03-28
2017-05-31,Pestivirus suis,Sus scrofa domesticus,,2006-09-04
2017-03-29,Pestivirus bovis,Bos taurus,blood,2012
2017-03-26,Pestivirus suis,Sus scrofa domesticus,,2010
2017-03-21,Pestivirus scrofae,Sus scrofa,,2016
2017-03-18,Pestivirus scrofae,Sus scrofa,,2016-07-20
2017-03-18,Pestivirus scrofae,Sus scrofa,,2016-08-03
2017-03-08,Pestivirus scrofae,Sus scrofa,,2016-12-16
2017-03-04,Pestivirus bovis,Bos taurus,"spleen, abdominal cavity",
2017-02-24,Pestivirus bovis,Bos taurus,blood,2016-01-05
2017-02-15,Pestivirus scrofae,Sus scrofa domesticus,,2016
2017-02-06,Pestivirus suis,Sus scrofa,tonsil,2016-09
2017-02-01,Pestivirus suis,Sus scrofa,,2011
2016-12-23,Pestivirus bovis,,,
2016-12-23,Pestivirus bovis,,,
2016-12-14,Pestivirus tauri,Bos taurus,feces,2015-11
2016-12-12,Pestivirus suis,Sus scrofa,,2015-03
2016-12-09,Pestivirus bovis,Bos taurus,blood,2007
2016-12-06,Pestivirus bovis,Bos taurus,,2000-11-10
2016-11-15,Pestivirus bovis,Bos taurus,,2012-01
2016-11-15,Pestivirus bovis,Bos taurus,,2013-05
2016-11-15,Pestivirus bovis,Bos taurus,,2013-08
2016-11-06,Pestivirus scrofae,Sus scrofa,,2012-03-01
2016-10-09,Pestivirus bovis,,,2010-11-20
2016-09-26,Pestivirus bovis,Bos taurus,,2006-03-08
2016-09-10,Pestivirus scrofae,Sus scrofa,,2015
2016-07-31,Pestivirus brazilense,Capra hircus,,2015
2016-07-19,Pestivirus scrofae,Sus scrofa,,2015
2016-06-28,Pestivirus suis,Sus scrofa domesticus,"kidney, abdominal cavity",2011
2016-06-25,Pestivirus bovis,Bos taurus,,2015
2016-06-07,Pestivirus suis,Sus scrofa,,2003
2016-06-07,Pestivirus suis,Sus scrofa,,2004
2016-06-07,Pestivirus suis,Sus scrofa,,2004
2016-06-07,Pestivirus suis,Sus scrofa,,2004
2016-06-07,Pestivirus suis,Sus scrofa,,2005
2016-06-07,Pestivirus suis,Sus scrofa,,2005
2016-06-07,Pestivirus suis,Sus scrofa,,2005
2016-06-07,Pestivirus suis,Sus scrofa,,2006
2016-06-07,Pestivirus suis,Sus scrofa,,2006
2016-06-07,Pestivirus suis,Sus scrofa,,2007
2016-06-07,Pestivirus suis,Sus scrofa,,2003
2016-05-01,Pestivirus suis,Sus scrofa,,2011
2016-03-16,Pestivirus suis,Sus scrofa,,2015-05
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-03-14,Pestivirus tauri,Bos taurus,blood,2005
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus tauri,Bos taurus,,2014-04-30
2016-02-23,Pestivirus suis,,,
2016-01-31,Pestivirus scrofae,Sus scrofa,,2014-08
2016-01-13,Pestivirus bovis,Bos taurus,"spleen, abdominal cavity",2014-12-05
