Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-09
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-09
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-09
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-09
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-12
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-03
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-17,Pangolin pestivirus,Manis javanica,,2019-04
2023-04-15,Pestivirus scrofae,Sus scrofa,,2022-05
2023-04-11,Pangolin pestivirus,Manis javanica,,2019
2023-03-31,Pangolin pestivirus,Pholidota,,2019
2023-03-25,Rodent pestivirus,Leopoldamys edwardsi,oronasopharynx,2017-12
2023-03-25,Rodent pestivirus,Rattus tanezumi,oronasopharynx,2019-11
2023-03-12,Pestivirus brazilense,Bos indicus x Bos taurus,blood,2019
2023-03-12,Pestivirus brazilense,Bos indicus,blood,2012
2023-03-12,Pestivirus brazilense,Bos indicus,blood,2012
2023-02-28,Pestivirus bovis,Bos taurus,,2021-09
2023-02-28,Pestivirus bovis,Bos taurus,,2021-09
2023-02-28,Pestivirus bovis,Bos taurus,,2021-09
2023-02-15,Trinbago virus,,,2018
2023-02-11,Pestivirus bovis,Bos taurus,,2021-09
2023-02-11,Pestivirus bovis,Bos taurus,,2021-09
2023-02-11,Pestivirus bovis,Bos taurus,,2021-09
2023-01-25,Pestivirus bovis,Bos taurus,,2021-05
